% # columns="iter, evals, sigma, 0, fitness, xbest" seed=809592, Wed Dec 27 08:22:47 2023, <python>{}</python>
1 7 21.986848594038495 0 -3843.1326979601627 55.91371356150067 16.22969023493099 68.93202347268668
2 14 21.948331832272736 0 -3801.1260290722694 46.99720697718751 79.97186766276785 17.384317063730414
3 21 31.379737924865683 0 -3796.058042848168 29.752121795745005 36.92603959134021 8.243822960424382
4 28 35.18099716870776 0 -3821.821041549873 32.90012979081096 73.08975827984271 42.89819107930826
5 35 40.14422989631393 0 -3802.1589447691244 19.72433288943615 46.73909226264339 15.034800638107075
6 42 37.44328638638024 0 -3835.3566771272403 42.323651309883196 93.93556102711432 59.92184942450103
7 49 35.30347256152559 0 -3805.5893080408537 21.689310128671984 97.83458473417275 22.60041978732798
8 56 31.449812533729112 0 -3813.543039823284 11.52523806059056 88.80441118136687 17.325288342855316
9 63 24.57369646771679 0 -3818.996402896639 35.43388286872699 51.25722793466229 27.824765390090974
10 70 19.314724363913292 0 -3801.613365302154 14.390596450201905 87.17292967947435 19.46162974531047
11 77 17.95210242385253 0 -3801.573281575157 19.533552550730896 57.624632536726054 22.747608844082343
12 84 17.751908542922173 0 -3795.033828035412 22.815041766042135 94.3847220876488 40.31159213543139
13 91 14.242050800005359 0 -3829.988581788684 22.394738287679296 75.52446640315986 35.479174222271574
14 98 13.902395285600301 0 -3805.813951509817 15.034694133857563 85.86933094014344 22.896926725273232
15 105 15.863486338198966 0 -3827.3181171230985 22.61782881272537 75.76990800245082 37.16938624034718
16 112 13.549422331850769 0 -3799.920223441571 12.851505611819142 77.58355404205373 23.583911692114143
17 119 12.419424951034083 0 -3797.9711142019364 22.307792284352438 82.98690669830428 25.50224630787659
18 126 12.348257268405916 0 -3810.6314289682764 19.796428540467623 66.07238929335712 25.324186476922836
19 133 10.116571333505744 0 -3802.779189431815 15.594183408477683 71.20996797705243 23.47428132413651
20 140 10.138524216244512 0 -3809.7091546610645 19.92468067329748 79.48936400157248 23.459082234463366
21 147 11.195392356905902 0 -3794.5343681224726 22.404752704952223 87.0863266417568 25.131774552680454
22 154 14.828886304592665 0 -3799.416850162826 21.014697022850306 99.99874425095754 28.619887194068166
23 161 15.904707122007437 0 -3816.895427696622 22.010682615109296 92.72069675975007 20.462035843322866
24 168 18.715353697776546 0 -3801.8989582740833 18.99444988380767 94.38963078911344 11.081661537045617
25 175 22.73367384685856 0 -3806.2270281296387 15.69658451519718 82.64246170842411 2.0369969625455333
26 182 23.181356484379766 0 -3800.3756818616444 21.702707237789873 85.85910338015248 23.000839296641765
27 189 24.055742835729326 0 -3808.8633912724563 15.606558281969065 71.56198600596991 3.859785202442703
28 196 30.92764211072645 0 -3792.767922407114 8.020484258894946 7.241953681676584 13.055538739847854
29 203 27.27049188034419 0 -3801.2525502633857 7.2414078034450515 38.43178001339714 22.779776128902647
30 210 28.99354334721956 0 -3805.7342601775626 6.466740769061639 14.855550893914259 26.647203151140165
31 217 30.804789581245913 0 -3807.8443855604883 2.0561026506561006 7.457351232685587 58.5642474318218
32 224 28.45378442685199 0 -3830.3672212879055 2.8129221236688693 5.71888992991663 46.352284900739456
33 231 28.02459585234858 0 -3818.4820133279527 8.188171372728753 38.73512167886306 11.177719292686362
34 238 32.746931253326146 0 -3812.4437505976653 8.657511800351607 27.304716267405254 5.41309320953091
35 245 32.86313217610287 0 -3805.035874325045 5.812528470361849 2.58278101261433 0.6354337014435654
36 252 34.30633910449728 0 -3801.7592502016682 7.535290935291025 14.237233796938442 25.614155950190693
37 259 39.699102354191425 0 -3821.5019660862345 5.01676223162182 3.051477570729917 23.490550142489347
38 266 41.33173458108243 0 -3803.8804710230856 6.289978157625024 14.640392653841074 25.985308320917703
39 273 36.005827285144086 0 -3815.7128186683976 6.176170090556704 20.268082672918222 24.56518467430951
40 280 28.615113064332395 0 -3816.2965391221537 5.548762399383401 12.215896580894983 28.759806577478646
